Date & Time,Date,Time,Duration (Second),Delta,T_X+,T_X-,T_Y+,T_Y-,T_Z+,T_Z-,T_Mid,CSS_XP,CSS_XM,CSS_YP,CSS_YM,CSS_ZP,CSS_ZM,I_QF_0,I_QF_1,I_QF_2,I_QF_3,I_QF_4,I_QF_5,I_QF_6,I_QF_7,T_TTC-B,ITemp0,ITemp1,I_UMPB,U_UMPB,U_UMBB,I_Block1,I_TTCA,I_TTCB,XAngVel,XAng,XSpeed,YAngVel,YAng,YSpeed,ZAngVel,ZAng,ZSpeed,RA_YM,DE_YM,AZ_YM,Diff_RA,Diff_DE,Diff_AZ
5/20/2018 0:00,20/05/2018,0:00:49,0,0,-0.46,-7.3,-9.25,-7.3,-5.34,-7.3,-1.43,0,0,0,0,0,0,47.73,44.73,130.71,345.58,208.4,96.55,26.61,19.14,4.43,2.48,4.43,1134.42,15.49,15.49,417.72,101.12,103.93,-0.003815,0.1,83.2,-0.001907,0.27,5212.2,-0.000954,0.15,932.8,119.2,-13.88,39.37,-7.17,6.47,172.8
5/20/2018 0:02,20/05/2018,0:02:50,120,120,-1.43,-7.3,-9.25,-7.3,-5.34,-7.3,-1.43,0,0,0,0,0,0,47.73,44.73,134.63,347.53,200.55,96.55,26.61,19.14,2.48,0.52,4.43,1123.1,15.49,15.46,417.72,101.12,103.93,0,0.1,83,-0.001907,0.27,5212.5,-0.000954,0.15,937,119.18,-13.91,39.36,-7.15,6.49,165.22
5/20/2018 0:04,20/05/2018,0:04:49,240,120,-1.92,-7.3,-11.21,-7.3,-5.83,-7.3,-1.43,0,0,0,0,0,0,47.73,44.73,130.71,347.53,212.32,100.47,26.61,17.88,2.48,0.52,4.43,1145.75,15.49,15.46,417.72,101.12,103.93,0.002861,0.1,83.2,-0.002861,0.27,5213.9,0.001907,0.15,940.8,119.15,-13.92,39.34,-7.11,6.51,157.64
5/20/2018 0:06,20/05/2018,0:06:50,360,120,-2.9,-7.3,-9.25,-7.3,-6.32,-7.3,-1.43,0,0,0,0,0,0,47.73,44.73,146.4,347.53,204.47,96.55,26.61,17.88,2.48,0.52,4.43,1134.42,15.63,15.44,417.72,101.12,103.93,0,0.11,81.6,-0.001907,0.28,5216.9,0.000954,0.15,943.5,119.14,-13.95,39.33,-7.11,6.53,150.06
5/20/2018 0:08,20/05/2018,0:08:50,480,120,-3.39,-8.27,-11.21,-9.25,-6.32,-8.76,-1.43,0,0,0,0,0,0,47.73,44.73,130.71,345.58,208.4,96.55,26.61,17.88,2.48,0.52,4.43,1134.42,15.49,15.44,417.72,101.12,103.93,0.001907,0.11,83.1,0,0.28,5215.9,-0.001907,0.15,948.1,119.1,-13.98,39.32,-7.06,6.56,142.48
5/20/2018 0:10,20/05/2018,0:10:49,600,120,-3.88,-8.76,-11.21,-9.25,-6.81,-8.76,-1.43,0,0,0,0,0,0,43.8,44.73,138.55,347.53,196.63,96.55,26.61,19.14,2.48,0.52,4.43,1134.42,15.49,15.44,427.21,101.12,105.88,-0.003815,0.1,83,-0.001907,0.27,5216.4,0,0.15,951.6,119.06,-14,39.31,-7.02,6.59,134.9
5/20/2018 0:12,20/05/2018,0:12:50,720,120,-4.36,-8.76,-8.27,-11.21,-7.3,-9.25,0.03,0,0,0,0,0,0,47.73,44.73,142.48,347.53,200.55,100.47,26.61,19.14,0.52,0.52,4.43,1157.07,15.49,15.42,427.21,101.12,103.93,-0.001907,0.1,83.9,-0.000954,0.27,5216.8,0,0.15,953.3,119.04,-13.99,39.29,-7,6.58,127.33
5/20/2018 0:14,20/05/2018,0:14:49,840,120,-5.34,-9.25,-11.21,-9.25,-7.3,-9.25,-3.39,0,0,0,0,0,0,47.73,44.73,130.71,347.53,192.71,96.55,26.61,17.88,0.52,0.52,2.48,1111.78,15.49,15.42,408.23,101.12,103.93,-0.004768,0.1,84.8,-0.002861,0.27,5217.5,-0.000954,0.15,958.6,118.99,-14.04,39.26,-6.95,6.62,119.76
5/20/2018 0:16,20/05/2018,0:16:49,960,120,-5.83,-9.25,-11.21,-9.25,-7.3,-9.74,-3.39,0,0,0,0,0,0,47.73,44.73,158.16,347.53,212.32,92.62,26.61,19.14,0.52,0.52,2.48,1157.07,15.49,15.39,446.19,101.12,105.88,0.006676,0.11,83.8,-0.000954,0.27,5220.3,-0.003815,0.15,960.2,118.98,-14.05,39.24,-6.94,6.63,112.19
5/20/2018 0:18,20/05/2018,0:18:50,1080,120,-6.32,-9.74,-11.21,-11.21,-7.3,-10.23,-3.39,0,0,0,0,0,0,43.8,44.73,130.71,347.53,208.4,100.47,26.61,17.88,0.52,0.52,1.5,1145.75,15.3,15.39,417.72,101.12,103.93,0.002861,0.1,83,0.002861,0.27,5221.7,0.000954,0.15,966.5,118.94,-14.11,39.23,-6.9,6.7,104.6
5/20/2018 0:20,20/05/2018,0:20:49,1200,120,-6.81,-9.74,-11.21,-9.25,-7.3,-10.72,-3.39,275.69,0,0,90.09,0,0,671.28,75.95,158.16,339.73,196.63,96.55,26.61,19.14,-0.46,2.48,1.01,1893.04,15.87,15.8,-123.24,101.12,105.88,-0.004768,0.1,85.3,-0.001907,0.27,5224.2,-0.001907,0.15,968.2,118.93,-14.13,39.2,-6.88,6.71,97.04
5/20/2018 0:22,20/05/2018,0:22:50,1320,120,-5.83,-10.72,-11.21,-9.25,-7.3,-10.72,-3.39,277.66,0,0,91.57,1.48,0,663.43,75.95,126.79,339.73,200.55,100.47,26.61,17.88,-1.43,4.43,1.5,1859.07,16.01,15.85,-142.22,101.12,107.83,-0.001907,0.11,88.3,0.001907,0.28,5225.2,0,0.15,970.3,118.89,-14.15,39.2,-6.84,6.74,89.45
5/20/2018 0:24,20/05/2018,0:24:50,1440,120,-5.34,-10.23,-11.21,-9.25,-7.3,-11.21,-3.39,281.6,0,0.49,94.52,6.89,0,659.51,75.95,134.63,337.78,208.4,104.39,26.61,19.14,-1.43,4.43,1.5,1893.04,15.87,15.87,-151.71,101.12,103.93,0.003815,0.11,93.4,0,0.27,5225,0.004768,0.15,975,118.85,-14.19,39.17,-6.8,6.78,81.89
5/20/2018 0:26,20/05/2018,0:26:49,1560,120,-4.36,-10.23,-11.21,-7.3,-6.81,-11.21,-3.39,283.56,1.48,2.46,100.43,21.17,0,659.51,75.95,126.79,337.78,220.16,96.55,26.61,19.14,-1.43,4.43,1.5,1870.39,15.87,15.89,-189.68,101.12,105.88,0.005722,0.11,96.2,0.004768,0.27,5222.9,0,0.15,978.2,118.84,-14.23,39.15,-6.79,6.82,74.32
5/20/2018 0:28,20/05/2018,0:28:50,1680,120,-3.39,-10.23,-13.16,-7.3,-6.32,-11.21,-3.39,281.6,8.86,6.4,107.81,38.4,0,655.59,75.95,134.63,335.82,204.47,96.55,26.61,19.14,-1.43,4.43,1.5,1859.07,15.97,15.94,-237.13,101.12,103.93,0,0.1,99.7,0,0.28,5220,-0.000954,0.15,981.8,118.82,-14.25,39.11,-6.77,6.84,66.75
5/20/2018 0:30,20/05/2018,0:30:49,1800,120,-2.9,-10.72,-11.21,-7.3,-5.83,-11.21,-3.39,278.64,23.63,11.32,115.2,55.14,0.49,655.59,75.95,126.79,335.82,196.63,96.55,26.61,19.14,-0.46,6.39,2.48,1847.75,15.97,15.97,-294.07,101.12,105.88,-0.002861,0.11,107.5,-0.001907,0.27,5216.2,0,0.15,986.1,118.81,-14.27,39.07,-6.76,6.85,59.2
5/20/2018 0:32,20/05/2018,0:32:49,1920,120,-1.92,-10.23,-11.21,-3.39,-5.34,-11.21,-3.39,276.18,43.32,15.26,122.58,69.41,0.98,655.59,75.95,138.55,335.82,208.4,92.62,26.61,19.14,-1.43,6.39,2.48,1870.39,15.97,15.94,-332.03,101.12,107.83,0.001907,0.11,114.2,0,0.28,5210.3,0.001907,0.15,991.8,118.78,-14.29,39.04,-6.73,6.88,51.64
5/20/2018 0:34,20/05/2018,0:34:10,2000,80,-1.43,-10.23,-11.21,-3.39,-4.85,-11.21,-3.39,274.7,56.61,17.72,126.52,73.85,1.48,655.59,75.95,150.32,335.82,208.4,104.39,26.61,19.14,-0.46,4.43,2.48,1881.71,16.06,15.99,-294.07,101.12,107.83,0,0.11,119.3,0.000954,0.27,5203.7,0.002861,0.15,995.1,118.76,-14.3,39.04,-6.71,6.89,46.58
